a,0.4700954083125568;
b,0.18427429670170659;
b,0.9143342568913585;
b,0.17121584633611142;
b,0.5712259655755041;
b,0.9079658821008849;
b,0.6027117655990157;
b,0.7739567602679477;
b,0.8920443039280606;
b,0.9850936069104006;
b,0.8629041017906688;
c,0.5031751501215008;
c,0.5200741087443681;
c,0.12501152889522482;
c,0.7993520016934675;
c,0.05350187525860306;
c,0.9281622091193732;
c,0.282243250079373;
d,0.13705233328651112;
e,0.11799310159304854;
e,0.33745433203793496;
e,0.9063596689135927;
e,0.4925286417752416;
e,0.5945359451293004;
e,0.46617460847281433;
f,0.6422438943379435;
f,0.6476835876238113;
f,0.6950876283799784;
f,0.7377206729937626;
f,0.871928688417155;
f,0.8944545778757078;
g,0.7762536792564526;
g,0.4950317592978125;
g,0.6553493891566401;
g,0.4070133184962844;
g,0.8379094048934771;
h,0.08088904109022499;
h,0.6462255422516896;
h,0.08412810084460531;
h,0.8109402913715544;
h,0.2243434594589112;
h,0.5010272778929907;
h,0.24777964366939975;
h,0.21298734309097966;
i,0.365819749936817;
i,0.7409528282631653;
i,0.7907537643502148;
i,0.5744369201991107;
j,0.4344507655024016;
k,0.05516346815972273;
k,0.8653210558839775;
k,0.5166050791578388;
k,0.2269570403513671;
k,0.042968196231092715;
l,0.16852823785923055;
l,0.44624856024363024;
l,0.062282070536682;
l,0.756867738181826;
l,0.19163872822612016;
l,0.8991527335030836;
l,0.2806730535775581;
m,0.09961919440476763;
m,0.39468569775382467;
m,0.3637015959463249;
n,0.9462207801627363;
n,0.4527057894623867;
n,0.8896232367173689;
n,0.020233552983256686;
n,0.0794619893736469;
n,0.3452279749872733;
n,0.5412816183759227;
n,0.576171447503702;
o,0.13313659107181774;
o,0.3922940135634301;
o,0.2915866304334376;
o,0.5233151408146514;
o,0.5022272470881425;
o,0.2764989953547706;
o,0.8557859573144385;
o,0.12355274626847523;
o,0.3426803612120638;
o,0.7957044776173766;
p,0.3495634548763831;
p,0.9580032895072652;
p,0.15795388201888083;
p,0.9520481712256086;
p,0.20385500195355966;
p,0.5888758127655955;
p,0.8574279608932992;
p,0.2685358038666097;
q,0.8618388634773909;
q,0.6681477878514686;
q,0.6713288057955186;
q,0.7317564425671156;
q,0.895184119974297;
q,0.405417848746753;
q,0.016840271346738267;
q,0.8877044199009921;
r,0.5152149720740575;
r,0.12574694438164413;
r,0.4493658502025204;
r,0.4322877776419872;
r,0.5081444754094817;
r,0.23851517884270879;
r,0.2907686421063178;
r,0.9851321303972932;
s,0.250189063222368;
s,0.9625304120180885;
s,0.6390481378426134;
s,0.9595770781640413;
s,0.24784724951356063;
s,0.5898963917095382;
s,0.9630976301179281;
t,0.6390153621585578;
t,0.6947365935478678;
u,0.9780884253087513;
u,0.11560597223699332;
u,0.8066739498777359;
u,0.21207808990358312;
u,0.01846244326310853;
v,0.9954689870773038;
v,0.41525803140496;
v,0.5229792306239465;
v,0.606478613431958;
v,0.2641851669719737;
w,0.45346276994538004;
w,0.869870709223996;
w,0.22951029988956084;
w,0.5986199480516967;
w,0.7430624991389786;
x,0.639079512140297;
x,0.7800759195486446;
x,0.4303088673915152;
x,0.8976354790571135;
x,0.7557783553963495;
x,0.3824035900314263;
x,0.06180611082741427;
x,0.6320693536800268;
x,0.2533271773731238;
y,0.2286862075341134;
y,0.8446060650181326;
y,0.9848697973615409;
y,0.9226559934922239;
y,0.035277442513461654;
z,0.7378201463097557;
z,0.38955020927955997;
z,0.26936740522371105;
z,0.9067467966944702;
z,0.2592791709205322;
z,0.32855616062169046;
